tx_id,account_id,amount,currency,amount_usd,date,status,is_compliant,scenario_rule,rule_ids,counterparty_id,counterparty_country,tx_type,description,edd_applied
T0006,A0033,30198.76,USD,30198.76,2024-06-04,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_023,DE,card_payment,POS card payment,false
T0103,A0044,9419.41,USD,9419.41,2024-06-04,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_048,AE,transfer,Account transfer,false
T0489,A0012,3430.69,GBP,4356.98,2024-06-04,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_071,AE,cash_deposit,Cash deposit at branch,false
T0492,A0012,2272.70,GBP,2886.33,2024-06-04,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_003,CA,cash_deposit,Cash deposit at branch,false
T0171,A0079,22693.51,USD,22693.51,2024-06-05,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_001,GB,cash_deposit,Cash deposit at branch,false
T0028,A0070,51027.85,EUR,55110.08,2024-06-08,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_024,TR,wire,Wire transfer,false
T0075,A0082,4405.60,USD,4405.60,2024-06-08,completed,true,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_041,JP,wire,Wire transfer,false
T0229,A0088,7275.20,EUR,7857.22,2024-06-08,completed,false,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_006,AU,wire,Wire transfer,false
T0231,A0089,5910.22,USD,5910.22,2024-06-08,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_057,ES,cash_withdrawal,ATM cash withdrawal,false
T0203,A0038,7106.29,GBP,9024.99,2024-06-09,completed,false,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_053,CA,card_payment,POS card payment,false
T0448,A0099,1472.82,USD,1472.82,2024-06-09,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_034,IT,cash_withdrawal,ATM cash withdrawal,false
T0189,A0051,9526.21,GBP,12098.29,2024-06-10,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_074,AE,transfer,Account transfer,false
T0284,A0023,17325.45,EUR,18711.49,2024-06-10,completed,false,HIGH_RISK_JURISDICTION,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_015,IR,cash_withdrawal,ATM cash withdrawal,true
T0407,A0089,5000.00,USD,5000.00,2024-06-10,completed,true,ROUND_NUMBER_ANOMALY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,ROUND_NUMBER_ANOMALY,SANCTIONS",CP_057,ES,cash_deposit,Cash deposit at branch,false
T0117,A0010,7764.49,GBP,9860.90,2024-06-11,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_054,AE,cash_withdrawal,ATM cash withdrawal,false
T0328,A0095,905.98,USD,905.98,2024-06-12,completed,true,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_055,AU,card_payment,POS card payment,false
T0329,A0095,1521.05,USD,1521.05,2024-06-12,completed,true,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_030,BR,wire,Wire transfer,false
T0373,A0061,3385.26,USD,3385.26,2024-06-12,completed,true,DORMANT_ACCOUNT_RULE,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_037,FR,cash_deposit,Cash deposit at branch,false
T0410,A0022,5000.00,USD,5000.00,2024-06-12,completed,false,ROUND_NUMBER_ANOMALY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,ROUND_NUMBER_ANOMALY,SANCTIONS",CP_088,GB,card_payment,POS card payment,false
T0190,A0037,21622.39,USD,21622.39,2024-06-13,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_049,AE,cash_deposit,Cash deposit at branch,false
T0142,A0053,13490.54,GBP,17132.99,2024-06-14,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_SAN_06,MM,cash_deposit,Cash deposit at branch,false
T0247,A0063,238763.64,KZT,525.28,2024-06-14,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_050,KZ,card_payment,POS card payment,false
T0378,A0065,2290.02,EUR,2473.22,2024-06-14,completed,false,DORMANT_ACCOUNT_RULE,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_048,AE,wire,Wire transfer,false
T0133,A0040,9451.46,USD,9451.46,2024-06-15,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_063,AU,cash_deposit,Cash deposit at branch,false
T0222,A0069,3936681.82,KZT,8660.70,2024-06-15,completed,false,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_068,IT,wire,Wire transfer,false
T0294,A0002,12971.29,EUR,14008.99,2024-06-16,completed,false,HIGH_RISK_JURISDICTION,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_047,MM,wire,Wire transfer,true
T0217,A0035,6623.56,GBP,8411.92,2024-06-17,completed,false,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_084,NL,cash_deposit,Cash deposit at branch,false
T0182,A0096,8563.70,EUR,9248.80,2024-06-18,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_003,CA,cash_deposit,Cash deposit at branch,false
T0326,A0027,1118.69,EUR,1208.19,2024-06-18,completed,true,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_014,GB,cash_withdrawal,ATM cash withdrawal,false
T0327,A0027,1259.68,EUR,1360.45,2024-06-18,completed,true,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_082,TR,wire,Wire transfer,false
T0420,A0057,2000.00,USD,2000.00,2024-06-18,completed,true,ROUND_NUMBER_ANOMALY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,ROUND_NUMBER_ANOMALY,SANCTIONS",CP_061,NL,cash_deposit,Cash deposit at branch,false
T0233,A0034,2895.88,USD,2895.88,2024-06-19,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_055,AU,wire,Wire transfer,false
T0124,A0029,9054.02,EUR,9778.34,2024-06-20,completed,true,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_045,AU,card_payment,POS card payment,false
T0459,A0096,1713.74,EUR,1850.84,2024-06-20,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_057,ES,wire,Wire transfer,false
T0194,A0037,6934.56,USD,6934.56,2024-06-21,completed,false,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_012,AE,cash_withdrawal,ATM cash withdrawal,false
T0299,A0098,17526.13,USD,17526.13,2024-06-21,completed,false,HIGH_RISK_JURISDICTION,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_076,SY,card_payment,POS card payment,true
T0147,A0017,16542.99,EUR,17866.43,2024-06-22,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_SAN_10,SY,cash_deposit,Cash deposit at branch,false
T0449,A0041,1921604.55,KZT,4227.53,2024-06-23,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_048,AE,cash_withdrawal,ATM cash withdrawal,false
T0134,A0037,9644.02,USD,9644.02,2024-06-24,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_011,AU,card_payment,POS card payment,false
T0165,A0066,19315.41,EUR,20860.64,2024-06-24,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_SAN_03,MM,transfer,Account transfer,false
T0242,A0079,4775.28,USD,4775.28,2024-06-24,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_042,DE,cash_withdrawal,ATM cash withdrawal,false
T0344,A0048,1462.94,USD,1462.94,2024-06-24,completed,true,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_072,KZ,transfer,Account transfer,false
T0345,A0048,573.50,USD,573.50,2024-06-24,completed,true,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_007,IT,card_payment,POS card payment,false
T0346,A0048,127.12,USD,127.12,2024-06-24,completed,true,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_083,SG,wire,Wire transfer,false
T0238,A0045,2430.44,USD,2430.44,2024-06-25,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_061,NL,wire,Wire transfer,false
T0250,A0095,1216.82,USD,1216.82,2024-06-25,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_084,NL,cash_withdrawal,ATM cash withdrawal,false
T0366,A0023,8076.33,EUR,8722.44,2024-06-25,completed,false,DORMANT_ACCOUNT_RULE,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_016,GB,transfer,Account transfer,false
T0472,A0068,366.18,GBP,465.05,2024-06-25,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_089,JP,wire,Wire transfer,false
T0027,A0032,30085.16,GBP,38208.15,2024-06-26,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_013,CA,wire,Wire transfer,false
T0168,A0048,1190.59,USD,1190.59,2024-06-26,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_SAN_04,RU,cash_deposit,Cash deposit at branch,false
T0412,A0056,925.93,EUR,1000.00,2024-06-26,completed,true,ROUND_NUMBER_ANOMALY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,ROUND_NUMBER_ANOMALY,SANCTIONS",CP_016,GB,cash_deposit,Cash deposit at branch,false
T0385,A0047,2092.83,USD,2092.83,2024-06-27,completed,true,DORMANT_ACCOUNT_RULE,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_037,FR,cash_withdrawal,ATM cash withdrawal,false
T0076,A0077,4106.97,USD,4106.97,2024-06-28,completed,true,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_055,AU,cash_withdrawal,ATM cash withdrawal,false
T0384,A0041,3870527.27,KZT,8515.16,2024-06-28,completed,true,DORMANT_ACCOUNT_RULE,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_050,KZ,cash_withdrawal,ATM cash withdrawal,false
T0069,A0085,5989.00,GBP,7606.03,2024-06-29,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_035,AU,wire,Wire transfer,false
T0258,A0003,6959.17,USD,6959.17,2024-06-29,completed,false,HIGH_RISK_JURISDICTION,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_047,MM,cash_withdrawal,ATM cash withdrawal,false
T0007,A0064,22782.91,EUR,24605.54,2024-06-30,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_013,CA,cash_withdrawal,ATM cash withdrawal,false
T0056,A0007,9461.72,USD,9461.72,2024-06-30,completed,true,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_041,JP,wire,Wire transfer,false
T0417,A0038,787.40,GBP,1000.00,2024-06-30,completed,false,ROUND_NUMBER_ANOMALY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,ROUND_NUMBER_ANOMALY,SANCTIONS",CP_057,ES,transfer,Account transfer,false
T0429,A0057,981.72,USD,981.72,2024-06-30,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_044,IT,cash_deposit,Cash deposit at branch,false
T0431,A0061,1935.61,USD,1935.61,2024-06-30,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_084,NL,cash_deposit,Cash deposit at branch,false
T0445,A0086,572.47,USD,572.47,2024-06-30,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_069,FR,cash_deposit,Cash deposit at branch,false
T0500,A0034,4532.18,USD,4532.18,2024-06-30,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_013,CA,cash_withdrawal,ATM cash withdrawal,false
T0114,A0098,9289.16,USD,9289.16,2024-07-01,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_035,AU,wire,Wire transfer,false
T0063,A0010,2120.70,GBP,2693.29,2024-07-02,completed,true,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_054,AE,cash_withdrawal,ATM cash withdrawal,false
T0214,A0066,4520.65,EUR,4882.30,2024-07-02,completed,false,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_050,KZ,transfer,Account transfer,false
T0044,A0007,3529.70,USD,3529.70,2024-07-04,completed,true,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_080,GB,wire,Wire transfer,false
T0011,A0092,58509.02,USD,58509.02,2024-07-05,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_069,FR,wire,Wire transfer,false
T0433,A0094,433.59,USD,433.59,2024-07-05,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_081,FR,cash_deposit,Cash deposit at branch,false
T0042,A0040,6500.04,USD,6500.04,2024-07-06,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_090,DE,wire,Wire transfer,false
T0055,A0049,3937.98,USD,3937.98,2024-07-06,completed,true,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_089,JP,wire,Wire transfer,false
T0483,A0055,1554.78,USD,1554.78,2024-07-06,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_058,AU,transfer,Account transfer,false
T0032,A0033,69333.89,USD,69333.89,2024-07-07,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_067,CA,transfer,Account transfer,false
T0332,A0039,1066.44,USD,1066.44,2024-07-07,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_090,DE,cash_withdrawal,ATM cash withdrawal,false
T0333,A0039,586.55,USD,586.55,2024-07-07,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_041,JP,card_payment,POS card payment,false
T0068,A0021,57568.18,KZT,126.65,2024-07-08,completed,true,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_082,TR,transfer,Account transfer,false
T0014,A0090,41826.62,USD,41826.62,2024-07-09,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_090,DE,cash_withdrawal,ATM cash withdrawal,false
T0022,A0021,30277563.64,KZT,66610.64,2024-07-10,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_056,BR,wire,Wire transfer,false
T0497,A0081,4774.65,USD,4774.65,2024-07-10,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_029,KZ,card_payment,POS card payment,false
T0034,A0073,54044.71,USD,54044.71,2024-07-11,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_039,JP,wire,Wire transfer,false
T0467,A0005,4555.63,USD,4555.63,2024-07-11,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_018,AU,cash_withdrawal,ATM cash withdrawal,false
T0223,A0082,2958.77,USD,2958.77,2024-07-12,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_022,CA,cash_deposit,Cash deposit at branch,false
T0376,A0010,2220.58,GBP,2820.14,2024-07-12,completed,true,DORMANT_ACCOUNT_RULE,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_041,JP,cash_withdrawal,ATM cash withdrawal,false
T0301,A0008,1716.25,USD,1716.25,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_044,IT,cash_withdrawal,ATM cash withdrawal,false
T0302,A0008,1376.58,USD,1376.58,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_017,IT,card_payment,POS card payment,false
T0303,A0008,227.34,USD,227.34,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_066,PL,card_payment,POS card payment,false
T0304,A0008,1626.95,USD,1626.95,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_061,NL,cash_withdrawal,ATM cash withdrawal,false
T0305,A0008,1050.83,USD,1050.83,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_019,JP,cash_withdrawal,ATM cash withdrawal,false
T0306,A0008,162.59,USD,162.59,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_078,TR,cash_withdrawal,ATM cash withdrawal,false
T0307,A0008,1460.40,USD,1460.40,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_042,DE,cash_withdrawal,ATM cash withdrawal,false
T0308,A0008,1642.08,USD,1642.08,2024-07-13,completed,false,VELOCITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,VELOCITY",CP_035,AU,transfer,Account transfer,false
